PC1,PC2
1.4350784745985847e-17,-0.0023057948063936605
1.3269174210142349e-17,-0.0022993300403513646
1.0335883899137168e-17,-0.002295263376189544
4.6957847162844765e-18,-0.0022584456720784237
1.0649463950657713e-17,-0.002283808128345253
1.5703484796481235e-17,-0.002299925819882086
1.0736525014158956e-17,-0.002314401719269236
1.0542841789872307e-17,-0.0022533321763725605
9.301120912347324e-18,-0.0023055491104076696
9.779101240246219e-18,-0.0021643515275980483
1.2663915464027345e-17,-0.002270955657203256
9.282671243551308e-18,-0.002259305462826996
1.1422749638406407e-17,-0.002312281793849678
4.899188263355986e-18,-0.0022779881720879323
9.579325454841824e-18,-0.0022868110939645954
1.0901102928798689e-17,-0.002281062242743971
1.485219723075171e-17,0.0298077954022649
1.0624865499526668e-17,0.03861354324560927
1.3096008679670028e-17,0.038289392374033164
1.1486478540274915e-17,0.04067143700079073
1.0550039539606802e-17,0.039295091284087744
7.358959348092602e-18,0.03396839033240378
1.2822754319660472e-18,0.04701814930387316
1.0813548169339892e-17,0.02876918043789851
6.742914759660711e-18,0.02766816297610371
4.691422114991528e-18,0.039952477989320855
7.731270644129381e-18,0.03516951130877158
1.1511947556139165e-17,0.039368269771259755
1.389142805191646e-17,0.04445828447029245
1.2292935328704682e-17,0.03242955119887893
1.1740667283014082e-17,0.03329179864861683
1.1135952382695597e-17,0.04341270067920403
2.086365603375241e-17,-0.0034181934823762717
2.121204509131919e-17,-0.00038267460166398404
2.3312312407823224e-17,-0.0010734367935417504
2.0001291312158726e-17,-0.006693187146994372
2.5255570118135728e-17,-0.004503666232726983
2.257759277893629e-17,-0.0024416977043865778
1.9823670120532562e-17,-0.0051450679941581375
2.520092833656606e-17,-0.002773365815973819
2.200346431160139e-17,-0.0008684211164754065
2.1736539870875497e-17,-0.0016984229536647444
1.4742516945455173e-17,-0.0021963276490573913
2.3782600488816595e-17,-0.000889403643031504
1.793772913626852e-17,-0.0018217765534438034
1.9086811483036744e-17,-0.004164133661203274
2.4309732340354715e-17,-0.0014741356341461884
2.2279992070383112e-17,-0.0013964052499482519
0.2500000000000003,-3.400623539613791e-06
0.24999999999999994,9.232944019750768e-07
0.2500000000000005,2.5621862804400387e-06
0.25000000000000033,3.2598537381806967e-06
0.2500000000000007,-4.562320192769149e-06
0.2499999999999995,-4.8604602207938405e-06
0.25000000000000006,5.841760668467868e-06
0.25000000000000067,-2.8016828672244875e-06
0.24999999999999978,-9.758512855326864e-07
0.2499999999999993,-4.099106464599218e-07
0.2500000000000005,-5.191675384821176e-06
0.25000000000000033,-2.0217370777824465e-07
0.24999999999999997,9.122620270607229e-07
0.2499999999999997,5.251511441973402e-06
0.2499999999999994,3.92520772891125e-07
0.2500000000000001,3.2613085094040752e-06
-6.369317945064167e-17,-0.016988222412363512
-4.867188818354729e-17,-0.01539576646975669
-7.431888324961559e-17,-0.01849795702966714
-5.1938094866639635e-17,-0.01590607379176575
-1.1203038840650587e-16,-0.02358218070395338
-6.813709599491261e-17,-0.016557668513131642
-6.267068900688236e-17,-0.016684152872093298
-7.060689762483045e-17,-0.017378921663961735
-6.497932940808423e-17,-0.017882878763824744
-6.084302123963695e-17,-0.015341992570878156
-7.137860303309684e-17,-0.016152894831571212
-8.236090572364902e-17,-0.01894495776486056
-6.140299923016653e-17,-0.016066193337632588
-5.098682687854256e-17,-0.012296360721666079
-5.708258678701789e-17,-0.0157003872903621
-6.247709649338266e-17,-0.01604459811129868
-1.618088581178925e-16,-0.0314975846127763
-1.620150853968652e-16,-0.03198513557617403
-1.506628866225275e-16,-0.030135557327192416
-1.5649218425670632e-16,-0.030511577941254534
-1.547223312805232e-16,-0.030432105611696902
-1.5718819330104972e-16,-0.031095473596169057
-1.638768886836281e-16,-0.03191764343437031
-1.1804301870588349e-16,-0.0255380138225168
-1.0691509195773682e-16,-0.023830717782058693
-1.258077842411524e-16,-0.02709954867141141
-1.3172096466118012e-16,-0.027812565728665424
-1.614073225835578e-16,-0.0314351439641197
-1.5132008779985751e-16,-0.029923777751885827
-1.6610981512811112e-16,-0.032000591706506015
-1.613024211878717e-16,-0.03121562613104813
-1.4742238606129106e-16,-0.03018742857217923
-3.584062658671886e-18,-0.0060089293426885465
3.4774952300244486e-18,-0.005873947462477922
-3.2708271613141637e-18,-0.0060374559803022835
3.58859909163344e-18,-0.00573346022153555
7.323458252988067e-18,-0.005410980847233595
9.87725023735073e-18,-0.005300868859943066
1.058101902120374e-18,-0.005828216842510648
-4.7440343902579985e-18,-0.006149295055814742
-2.0524040154029417e-19,-0.006218203670628324
-1.8990661936140337e-19,-0.0061213431084734685
-4.872529496549374e-18,-0.006085152708196316
-2.3386256999031064e-18,-0.006189886780428937
4.650479503242627e-18,-0.006039966568576066
-9.363911107930186e-19,-0.005911501167304394
-5.214683094301232e-18,-0.0060235251459121435
-5.152941893086665e-19,-0.006059361518309377
1.880683101111107e-17,-0.0019787618797220455
2.2688862663564337e-17,-0.002011474013973803
1.895850662537981e-17,-0.0017524829266207494
1.9438523925076673e-17,-0.0019799805855655467
1.8426837718032594e-17,-0.0015224677121434829
2.0801994139443683e-17,-0.0018969286537455269
1.854828695347053e-17,-0.0017743338311702124
1.5368177516421797e-17,-0.0018277191101586498
1.8342817293286146e-17,-0.0018581322117079298
1.7642284069295824e-17,-0.0018841226638157751
1.6832833550309293e-17,-0.001224874542361559
1.868703191527421e-17,-0.001666653430581617
2.3785628550791826e-17,-0.0017452380251855367
1.7705350395863074e-17,-0.0018756904711698865
1.8671755674852972e-17,-0.0018919951506532445
1.535012760747709e-17,-0.002036349081970827
1.967323322746987e-17,-0.0024983424776004403
9.970119563566237e-18,-0.0038245270652846213
1.3309087037073734e-17,-0.0038008977246463895
5.7463429942207224e-18,-0.005372977561164451
1.5194771705045444e-17,-0.003483462710858397
2.4240909483049468e-17,-0.0007638655124609003
2.4212829466787293e-17,-0.000897034953203279
4.219168569391528e-18,-0.005307949042978282
4.294264984045843e-18,-0.0052273476927610545
9.869520231475801e-18,-0.003959125806908739
3.0083351787885456e-17,0.00013789351409092338
-2.153971344273884e-18,-0.007267737934766553
9.81802823688306e-18,-0.004997814090813222
1.9849483585874258e-17,-0.0035478899786651062
9.139353914613274e-18,-0.00396115165329735
5.0320818540679824e-18,-0.0047744122440255676
2.139333249037134e-17,-0.0009062039100384882
1.3502991776431218e-17,0.0005797987520421556
1.6272774989388736e-17,0.0006972025459212189
1.8736352396113013e-17,0.007454108911328448
1.6054340220682567e-17,-0.001367586585286023
